name,latitude,longitude,,,,,,,,
Cipinang,-6.2060501,106.8926197,,,,,,,,
Kebon Kosong,-6.156322,106.8542865,,,,,,,,
Cikini,-6.1913465,106.8395502,,,,,,,,
Sukadanau,-6.2795312,107.1121603,,,,,,,,
Sukaresmi,-6.3214433,107.1333929,,,,,,,,
Cipinang Melayu,-6.2483449,106.9037747,,,,,,,,
Parigi,-6.2727474,106.6995846,,,,,,,,
Penggilingan,-6.2050399,106.9359199,,,,,,,,
Sindangjaya,-6.0833364,107.1313533,,,,,,,,
Gaga,-6.2428881,106.7261257,,,,,,,,
Cilangkap,-6.3335136,106.9092529,,,,,,,,
Kayuringinjaya,-6.2423985,106.9868533,,,,,,,,
Semper Timur,-6.1207571,106.9349781,,,,,,,,
Cengklong,-6.0808257,106.6858721,,,,,,,,
Setiamulya,-6.1227194,106.9819811,,,,,,,,
Cipondoh Makmur,-6.1819519,106.6764566,,,,,,,,
Grogol Selatan,-6.2308999,106.7803086,,,,,,,,
Jatirahayu,-6.2973386,106.9245341,,,,,,,,
Suka Pura,-6.1476246,106.9303862,,,,,,,,
Cipulir,-6.2385664,106.7734378,,,,,,,,
Cinere,-6.3492072,106.7742824,,,,,,,,
Tugu Utara,-6.1224924,106.9121406,,,,,,,,
Rawajati,-6.2580249,106.854993,,,,,,,,
Buaran,-6.3415273,106.6924994,,,,,,,,
Jatimurni,-6.3249399,106.9303088,,,,,,,,
Pegadungan,-6.1339168,106.7019941,,,,,,,,
Kukusan,-6.3660476,106.8181559,,,,,,,,
Maphar,-6.1558405,106.8197615,,,,,,,,
Pejaten Barat,-6.2737213,106.8347013,,,,,,,,
Tanjung Duren Utara,-6.17182,106.7824559,,,,,,,,
Meruya Selatan,-6.2101635,106.7329989,,,,,,,,
Klender,-6.2183295,106.906693,,,,,,,,
Sawah,-6.2891003,106.7344074,,,,,,,,
Kebon Kelapa,-6.1642923,106.8247393,,,,,,,,
Bendungan Hilir,-6.2087254,106.8086398,,,,,,,,
Jayasakti,-6.0192974,107.0897048,,,,,,,,
Kampung Tengah,-6.2903459,106.8662671,,,,,,,,
Telukpucung,-6.2043944,107.030899,,,,,,,,
Johar Baru,-6.1857706,106.8567766,,,,,,,,
Wangunharja,-6.292641,107.1292954,,,,,,,,
,-6.0965331,106.9933559,,,,,,,,
Karang Tengah,-6.2179617,106.7071278,,,,,,,,
Pekayon,-6.3432799,106.8646035,,,,,,,,
Kayu Putih,-6.1790057,106.8836752,,,,,,,,
Serang,-6.3511122,107.140861,,,,,,,,
Ceger,-6.3130259,106.8905229,,,,,,,,
Ciangsana,-6.3681268,106.9517499,,,,,,,,
Kalibaru,-6.2236137,106.980867,,,,,,,,
Penjaringan,-6.1289041,106.7992012,,,,,,,,
Cipondoh,-6.1913218,106.674742,,,,,,,,
Sukawangi,-6.1429021,107.132073,,,,,,,,
Grogol Utara,-6.2169919,106.7866091,,,,,,,,
Jatimekar,-6.2949776,106.9468393,,,,,,,,
Kuningan Timur,-6.230969,106.8301957,,,,,,,,
Srimukti,-6.1749252,107.0613925,,,,,,,,
Jatirangga,-6.3606594,106.9378471,,,,,,,,
Glodok,-6.1448405,106.8131866,,,,,,,,
Kebayoran Lama Selatan,-6.2553149,106.7790703,,,,,,,,
Kedaung,-6.3741571,106.7551972,,,,,,,,
Sukaasih,-6.2131652,107.1415814,,,,,,,,
Kembangan Utara,-6.1732667,106.7427257,,,,,,,,
Tanjung Barat,-6.3065276,106.8488333,,,,,,,,
Kedaung Kali Angke,-6.1530918,106.7586004,,,,,,,,
Pondok Benda,-6.3444754,106.7145069,,,,,,,,
Pondok Bambu,-6.2379668,106.9026733,,,,,,,,
Cempaka Putih,-6.3005116,106.7526277,,,,,,,,
Paninggilan,-6.247047,106.7127422,,,,,,,,
Bungur,-6.1713909,106.8482316,,,,,,,,
Kalijaya,-6.2571788,107.1368403,,,,,,,,
Setiajaya,-6.0650798,107.13425,,,,,,,,
Pisangan Timur,-6.2062858,106.8807695,,,,,,,,
Pamulang Permai,-6.3360771,106.7352902,,,,,,,,
Gunung Sahari Selatan,-6.1570118,106.84439,,,,,,,,
Petamburan,-6.1953983,106.8068864,,,,,,,,
Jatiwangi,-6.3140761,107.1033287,,,,,,,,
Dadap,-6.0874339,106.7071904,,,,,,,,
Halim Perdana Kusuma,-6.2655682,106.8936385,,,,,,,,
Pondok Kacang Timur,-6.2543867,106.6948521,,,,,,,,
Pulo Gebang,-6.2051221,106.9522403,,,,,,,,
Telagaasih,-6.2617278,107.102523,,,,,,,,
Sukaringin,-6.0833969,107.0888658,,,,,,,,
Cipadu,-6.243227,106.7376966,,,,,,,,
Ciracas,-6.3261105,106.8751366,,,,,,,,
Bintarajaya,-6.2479813,106.9545703,,,,,,,,
Lagoa,-6.1140999,106.911646,,,,,,,,
Telajung,-6.3307255,107.0688252,,,,,,,,
Sukamekar,-6.1389219,107.0694312,,,,,,,,
Cipondoh Indah,-6.1815189,106.6879883,,,,,,,,
Sukamantri,-6.1422026,107.1542685,,,,,,,,
Cilincing,-6.1090904,106.9428098,,,,,,,,
Rawa Barat,-6.2361238,106.8133271,,,,,,,,
Pangkalanjati,-6.3307306,106.781308,,,,,,,,
Sukarapih,-6.1856823,107.1254255,,,,,,,,
Sepanjangjaya,-6.2667215,107.0033709,,,,,,,,
Kalibata,-6.2623624,106.8402824,,,,,,,,
Cimuning,-6.3261614,107.0280096,,,,,,,,
Roa Malaka,-6.1362105,106.8094248,,,,,,,,
Ciganjur,-6.3355851,106.8070616,,,,,,,,
Taman Sari,-6.1558531,106.8244003,,,,,,,,
Cilandak Timur,-6.2894658,106.8124767,,,,,,,,
Jurumudi,-6.1362529,106.6831805,,,,,,,,
Jati Pulo,-6.1777057,106.8036982,,,,,,,,
Galur,-6.176019,106.8551951,,,,,,,,
Malaka Sari,-6.22489,106.9288242,,,,,,,,
Sarua Indah,-6.3041999,106.7275875,,,,,,,,
Kemayoran,-6.1648157,106.8450861,,,,,,,,
Cakung Timur,-6.1728853,106.956719,,,,,,,,
Tridayasakti,-6.2458064,107.0770691,,,,,,,,
Pantaimekar,-6.0017501,107.0402205,,,,,,,,
Batu Ampar,-6.2785032,106.8623521,,,,,,,,
Kwitang,-6.1837065,106.8402976,,,,,,,,
Danauindah,-6.3016804,107.1087877,Bekasi,Cikarang Barat,Desa Danauindah,,,,,
Segaramakmur,-6.0985436,106.9767064,,,,,,,,
Pondok Pucung,-6.2149082,106.7018864,,,,,,,,
Munjul,-6.3478538,106.8955892,,,,,,,,
Jatinegara Kaum,-6.20113,106.9027609,,,,,,,,
Cibening,-6.35782,107.0719117,,,,,,,,
Sudimara Pinang,-6.2258858,106.6887105,,,,,,,,
Srimahi,-6.1737338,107.0833645,,,,,,,,
Gedong,-6.3035401,106.8611734,,,,,,,,
Aren Jaya,-6.2412765,107.0379752,,,,,,,,
Kebon Bawang,-6.1198964,106.8885581,,,,,,,,
Setiaasih,-6.148339,106.9932321,,,,,,,,
Karet,-6.213546,106.8270569,,,,,,,,
Jatimakmur,-6.2846812,106.9256285,,,,,,,,
Pegangsaan Dua,-6.1626344,106.9158465,,,,,,,,
Banjarsari,-6.1841367,107.1432317,,,,,,,,
Wijaya Kesuma,-6.1544417,106.7756354,,,,,,,,
Gandaria Utara,-6.2577702,106.7910352,,,,,,,,
Sumberjaya,-6.2206084,107.0814538,,,,,,,,
Kamal,-6.1033968,106.6974405,,,,,,,,
Lebak Bulus,-6.3016717,106.779691,,,,,,,,
Kemanggisan,-6.1896703,106.7908831,,,,,,,,
Pulau Untung Jawa,-5.9775464,106.7073046,,,,,,,,
Tanahbaru,-6.0339417,107.1478305,,,,,,,,
Bakti Jaya,-6.3557448,106.7100252,,,,,,,,
Duri Kepa,-6.175123,106.7743079,,,,,,,,
Sukarukun,-6.2221321,107.1559349,,,,,,,,
Bidara Cina,-6.2330194,106.8664693,,,,,,,,
Rempoa,-6.2882807,106.7582081,,,,,,,,
Parung Serab,-6.2483776,106.7022147,,,,,,,,
Sukabumi Utara,-6.2087582,106.7778493,,,,,,,,
Kedaung,-6.3091813,106.7390851,,,,,,,,
Kampung Melayu,-6.2193557,106.8636187,,,,,,,,
Pasar Baru,-6.164901,106.8334669,,,,yes,Q7141608,en:Pasar Baru,,
Kebon Melati,-6.1974872,106.8165458,,,,,,,,
Lambangsari,-6.280282,107.0484739,,,,,,,,
Mekarwangi,-6.3066307,107.0796113,,,,,,,,
Jatimulya,-6.0918835,106.684901,,,,,,,,
Cawang,-6.2503382,106.8674908,,,,,,,,
Pondok Jaya,-6.2745812,106.7297367,,,,,,,,
Kaliabang Tengah,-6.1827245,107.0053115,,,,,,,,
Cikarang Kota,-6.2626649,107.1502914,,,,,,,,
Kreo Selatan,-6.2446771,106.7439852,,,,,,,,
Margahayu,-6.2525019,107.0150659,,,,,,,,
Warakas,-6.122001,106.8769662,,,,,,,,
Salembaran,-6.0541399,106.6860049,,,,,,,,
Bantargebang,-6.3213965,106.9876801,,,,,,,,
Kamal Muara,-6.1098554,106.7337392,,,,,,,,
Kramat Pela,-6.2453477,106.7924628,,,,,,,,
Pasir Gunung Selatan,-6.359419,106.8461403,,,,,,,,
Jakasetia,-6.2678482,106.9742203,,,,,,,,
Penjagalan,-6.1373464,106.7840286,,,,,,,,
Bangka,-6.2630889,106.8184883,,,,,,,,
Jatiranggon,-6.3383832,106.9275882,,,,,,,,
Pinangsia,-6.1355846,106.8146408,,,,,,,,
Cikoko,-6.2449525,106.8550588,,,,,,,,
Mekarsari,-6.3696991,106.8721275,,,,,,,,
Duri Utara,-6.1539172,106.8050298,,,,,,,,
Gandaria Selatan,-6.272484,106.7948165,,,,,,,,
Mangunjaya,-6.2335806,107.0633073,,,,,,,,
Kampung Rawa,-6.1795121,106.855659,,,,,,,,
Joglo,-6.2197819,106.737935,,,,,,,,
Rawa Bunga,-6.2187144,106.8716533,,,,,,,,
Utan Panjang,-6.1648717,106.8548145,,,,,,,,
Gelora,-6.2149918,106.8005721,,,,,,,,
Wanajaya,-6.2429889,107.1129726,,,,,,,,
Marunda,-6.1124898,106.9617166,,,,,,,,
Lenggahsari,-6.0442699,107.1053354,,,,,,,,
Lubang Buaya,-6.2928737,106.9030865,,,,,,,,
Pondok Betung,-6.2668574,106.7486954,,,,,,,,
Harapan Baru,-6.2126605,107.021187,,,,,,,,
Paseban,-6.1922568,106.8525086,,,,,,,,
Harjamekar,-6.2753373,107.1367358,,,,,,,,
Mekarmukti,-6.2892454,107.1537595,,,,,,,,
Sukakerta,-6.1048322,107.1191608,,,,,,,,
Karang Mulya,-6.2007346,106.7183413,,,,,,,,
Pondok Ranggon,-6.3544342,106.9066357,,,,,,,,
Ujung Menteng,-6.1834535,106.9648598,,,,,,,,
Sukadami,-6.3594799,107.1223641,,,,,,,,
Kedungjaya,-6.0921746,107.0390428,,,,,,,,
Kunciran Indah,-6.2238438,106.6777033,,,,,,,,
Srijaya,-6.172747,107.0711362,,,,,,,,
Setu,-6.3127494,106.9145539,,,,,,,,
Durenjaya,-6.2354585,107.0302553,,,,,,,,
Kapuk Muara,-6.1229723,106.7613232,,,,,,,,
Sukamurni,-6.1222075,107.1448518,,,,,,,,
Gondrong,-6.1938137,106.6956957,,,,,,,,
Manggarai,-6.2134963,106.8509392,,,,,,,,
Jatirasa,-6.295228,106.9675507,,,,,,,,
Rorotan,-6.1457207,106.9567014,,,,,,,,
Kebon Baru,-6.2329499,106.8614867,,,,,,,,
Kalianyar,-6.1577846,106.7987842,,,,,,,,
Manggarai Selatan,-6.2213445,106.8496177,,,,,,,,
Jatiasih,-6.2936589,106.9636695,,,,,,,,
Jurang Mangu Timur,-6.2635415,106.7299116,,,,,,,,
Kec. Pamulang,-6.3439512,106.7398185,,,,,,,,
Bukit Duri,-6.2210945,106.8584257,,,,,,,,
Tebet Barat,-6.2339315,106.8489052,,,,,,,,
Tebet Timur,-6.2328107,106.8549585,,,,,,,,
Cempaka Putih Barat,-6.1797434,106.863096,,,,,,,,
Cempaka Putih Timur,-6.1763601,106.8704399,,,,,,,,
Rawasari,-6.1900838,106.864429,,,,,,,,
Cililitan,-6.2624687,106.86381,,,,,,,,
Tegal Parang,-6.2489089,106.8296061,,,,,,,,
Pancoran,-6.2475556,106.8414296,,,,,,,,
Duren Tiga,-6.2559452,106.8341575,,,,,,,,
Pisangan Baru,-6.2114514,106.8681618,,,,,,,,
Kayu Manis,-6.200931,106.8620436,,,,,,,,
Palmeriam,-6.203709,106.8597485,,,,,,,,
Karet Kuningan,-6.2200933,106.8286324,,,,,,,,
Cipinang Cempedak,-6.2346728,106.8729163,,,,,,,,
Duri Pulo,-6.1636195,106.8044806,,,,,,,,
Tanah Sereal,-6.1543321,106.8093534,,,,,,,,
Kota Bambu Selatan,-6.1875027,106.8035245,,,,,,,,
Kota Bambu Utara,-6.1833002,106.8035888,,,,,,,,
Kembangan Selatan,-6.1885306,106.739284,,,,,,,,
Kelapa Dua,-6.2095281,106.7688125,,,,,,,,
Harapan Mulya,-6.1699191,106.856581,,,,,,,,
Srengseng Sawah,-6.3449388,106.8262052,,,,,Q12516063,"id:Srengseng Sawah, Jagakarsa, Jakarta Selatan",,
Cipayung,-6.329545,106.8930244,,,,,,,,
Semanan,-6.1674843,106.7027259,,,,,,,,
Kalideres,-6.1509293,106.699636,,,,,,,,
Mangga Dua Selatan,-6.1414295,106.8282223,,,,,,,,
Karang Anyar,-6.1546781,106.8290162,,,,,,,,
Susukan,-6.3122872,106.8674261,,,,,,,,
Tangki,-6.1465657,106.8233031,,,,,,,,
Kelapa Dua Wetan,-6.3391721,106.8831808,,,,,,,,
Tanjung Duren Selatan,-6.1795103,106.7886838,,,,,,,,
Kebayoran Lama Utara,-6.2448215,106.7782383,,,,,,,,
Ulujami,-6.234164,106.7626018,,,,,,,,
Petukangan Selatan,-6.243428,106.7536421,,,,,,,,
Pulo,-6.2540311,106.8025524,,,,,,,,
Petogogan,-6.2432098,106.8114672,,,,,,,,
Rawa Badak Utara,-6.1197778,106.8978539,,,,,,,,
Cengkareng Timur,-6.1409572,106.7353678,,,,,,,,
Kapuk,-6.1391425,106.7522077,,,,,,,,
Pademangan Timur,-6.1382734,106.8473205,,,,,,,,
Pademangan Barat,-6.134204,106.8361018,,,,,,,,
Kali Baru,-6.1040448,106.9232529,,,,,,,,
Ancol,-6.125215,106.8362474,,,,,,,,
Jaticempaka,-6.2612725,106.9106305,,,,,,,17416,"Kelurahan Jaticempaka, Kecamatan Pondokgede"
Pengasinan,-6.2686991,107.0091417,,,,,,,,
Pekopen,-6.269824,107.0587947,,,,,,,,
Wangunharja,-6.2963061,107.1264729,,,,,,,,
Pejagalan,-6.1335,106.7843,,,,,,,,
